id,creation_time,modification_time,email,nickname,phone_number,birthyear,birthday,gender,bio,image_url,kakao_oauth,validation_time
dfee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2837@kakao.com,렉돌이,+82 10-9203-2837,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358042,2021-12-22 18:40:36.557067+09
1fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2830@kakao.com,렉돌이1,+82 10-9203-2831,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358041,2021-12-22 18:40:36.557067+09
2fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2831@kakao.com,렉돌이2,+82 10-9203-2832,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358040,2021-12-22 18:40:36.557067+09
3fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2832@kakao.com,렉돌이3,+82 10-9203-2833,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358043,2021-12-22 18:40:36.557067+09
4fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2833@kakao.com,렉돌이4,+82 10-9203-2834,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358044,2021-12-22 18:40:36.557067+09
5fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2834@kakao.com,렉돌이5,+82 10-9203-2835,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358045,2021-12-22 18:40:36.557067+09
6fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2835@kakao.com,렉돌이6,+82 10-9203-2836,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358046,2021-12-22 18:40:36.557067+09
7fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2836@kakao.com,렉돌이7,+82 10-9203-2811,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358047,2021-12-22 18:40:36.557067+09
8fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2838@kakao.com,렉돌이8,+82 10-9203-2838,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358048,2021-12-22 18:40:36.557067+09
9fee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2839@kakao.com,렉돌이9,+82 10-9203-2839,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358049,2021-12-22 18:40:36.557067+09
10ee1ab0-c2bf-45c8-8256-d5ffea725b03,2021-12-22 17:09:03.902131+09,2021-12-22 18:40:36.557067+09,gwak2810@kakao.com,렉돌이10,+82 10-9203-2810,1998,0412,1,알파카의 소개가 아직 없어요.,,1990358010,2021-12-22 18:40:36.557067+09
